PostingID,drug_cui
20069,C0070122
20070,C0070122
20071,C0070122
20072,C0070122
20073,C0070122
20074,C0070122
20075,C0070122
20076,C0070122
20077,C0070122
20078,C0070122
20079,C0070122
20080,C0070122
20081,C0070122
20082,C0070122
20083,C0070122
20084,C0070122
20085,C0070122
20087,C0085208
20088,C0085208
20089,C0085208
20090,C0085208
20091,C0085208
20092,C0085208
20093,C0085208
20094,C0085208
20095,C0085208
20099,C0281666
20100,C0969324
20102,C0085208
20171,C0526371
20173,C0060400
20174,C4519188
20175,C0070122
20175,C0085208
20187,C3818721
20188,C0526371
20189,C2983812
20259,C2983812
20260,C0085149
20264,C3179547
20265,C3179547
20266,C3179547
20267,C3179547
20269,C0700596
20270,C1509436
20271,C2983812
20272,C2983812
20273,C3253985
20277,C2935023
20277,C3709474
20279,C0530684
20280,C0530684
20286,C0085149
20287,C3896946
20288,C1509436
20295,C2718773
20296,C3657824
20297,C0077071
20298,C0077071
20299,C0077071
20300,C0077071
20301,C0077071
20302,C0077071
20303,C0244821
20304,C1723401
20305,C0034283
20306,C0070122
20307,C1723401
20308,C3496793
20309,C1509436
20312,C2983812
20313,C2000261
20314,C2000261
20316,C0246421
20317,C3657824
20318,C1831796
20319,C1831796
20320,C3496793
20321,C1509436
20324,C3492889
20329,C1948374
20344,C1174893
20355,C0066700
20355,C5433054
20356,C0066700
20356,C5433054
20357,C0771469
20359,C2983812
20360,C4018470
20361,C4310385
20362,C4310385
20363,C4310385
20364,C1566826
20364,C4310385
20365,C0037508
20366,C2607479
20367,C3709474
20369,C4519188
20371,C0035525
20372,C1948374
20372,C2935023
20372,C3709474
20373,C0035525
20375,C0530684
20377,C2983812
20378,C2983812
20379,C2931926
20382,C1566826
20382,C4310385
20383,C1948374
20384,C2717174
20386,C0117996
20386,C1948374
20390,C0070203
20400,C3496793
20565,C3492889
20566,C3492889
20567,C3492889
20571,C0065023
20573,C3467876
20574,C3467876
20591,C1948374
20591,C2935023
20591,C3709474
20592,C1948374
20592,C2935023
20592,C3709474
20594,C1948374
20594,C2935023
20594,C3709474
20595,C1948374
20595,C2935023
20595,C3709474
20601,C1619629
